name,info
ACCESSORIES - Scaps and Back,"[{'exercise': 'Band Lat Pulldown', 'sets': 3, 'reps': [15, 15, 15]}]"
UB Prep & Potentiation,"[{'exercise': 'MB Chest Pass', 'sets': 1, 'reps': [6]}, {'exercise': 'Cobra', 'sets': 3, 'reps': [3, 3, 3]}, {'exercise': 'MB Chest Pass', 'sets': 2, 'reps': [6, 6]}]"
LB Power,"[{'exercise': 'KB Swing', 'sets': 4, 'reps': [5, 5, 5, 5]}]"
Shoulder & Hip Care/Stability,"[{'exercise': 'MB Chest Pass', 'sets': 2, 'reps': [10, 10]}]"
Bracing & Back,"[{'exercise': '1-Arm DB Row', 'sets': 2, 'reps': [10, 10]}]"
Accessories Superset,"[{'exercise': 'Incline DB Bench Press', 'sets': 4, 'reps': [8, 8, 8, 8]}]"
Barbell Good Morning,"[{'exercise': 'Barbell Good Morning', 'sets': 4, 'reps': [8, 8, 8, 8]}]"
Hip & Core,"[{'exercise': 'Fire Hydrant', 'sets': 2, 'reps': [10, 10]}]"
Unilateral Strength Emphasis,"[{'exercise': 'DB Split Squat', 'sets': 3, 'reps': [8, 8, 8]}]"
Horizontal Pull,"[{'exercise': 'SB Hamstring Curl', 'sets': 3, 'reps': [12, 12, 12]}]"
Hinge Pattern - RDLs,"[{'exercise': 'DB RDL', 'sets': 3, 'reps': [12, 12, 12]}]"
Prep Circuit,"[{'exercise': 'MB Rotational Throwdown', 'sets': 1, 'reps': [12]}]"
AMRAP MB CIRCUIT,"[{'exercise': 'MB Rotational Throwdown', 'sets': 1, 'reps': [12]}]"
AMRAP TB CIRCUIT,"[{'exercise': '1-Leg Side -2- Side Hops', 'sets': 1, 'reps': [20]}, {'exercise': 'KB Swing', 'sets': 1, 'reps': [10]}]"
BODY PREP,"[{'exercise': 'Running Drill - Static Hold', 'sets': 2, 'reps': [0, 0]}]"
Sprint Mechanics - NOT A SUPERSET,"[{'exercise': 'Running Drill - Marching', 'sets': 1, 'reps': [6]}, {'exercise': 'Running Drill - Single', 'sets': 2, 'reps': [4, 4]}]"
Barbell Bench Press - Hypertrophy,"[{'exercise': 'Barbell Bench Press', 'sets': 3, 'reps': [6, 6, 6]}]"
WLAX TEAM WARM UP,"[{'exercise': 'Dynamic Warmup', 'sets': 1, 'reps': [0]}]"
Barbell Back Squat - Eccentric Emphasis,"[{'exercise': 'Barbell Back Squat', 'sets': 4, 'reps': [4, 4, 4, 4]}]"
Barbell Back Squat - Prep Included,"[{'exercise': 'Barbell Back Squat', 'sets': 6, 'reps': [4, 4, 4, 4, 4, 4]}]"
Warm Down Circuit,"[{'exercise': 'Banded Clamshell', 'sets': 2, 'reps': [10, 10]}, {'exercise': 'Banded Bicycle', 'sets': 2, 'reps': [10, 10]}]"
Superset B - Volume Accum.,"[{'exercise': 'Incline DB Bench Press', 'sets': 2, 'reps': [10, 10]}]"
Barbell TEMPO Bench Press - Strength,"[{'exercise': 'Barbell Bench Press', 'sets': 4, 'reps': [4, 4, 4, 4]}]"
Mini Band - Glutes/Abs/Hip Flexors,"[{'exercise': 'Banded Clamshell', 'sets': 3, 'reps': [15, 15, 15]}, {'exercise': 'Banded Bicycle', 'sets': 3, 'reps': [15, 15, 15]}]"
Barbell Bench Press - Strength,"[{'exercise': 'Barbell Bench Press', 'sets': 4, 'reps': [4, 4, 4, 4]}]"
Secondary Pressing,"[{'exercise': 'Incline DB Bench Press', 'sets': 3, 'reps': [10, 10, 10]}]"
Assistance Movement - Volume Accum.,"[{'exercise': 'Incline DB Bench Press', 'sets': 3, 'reps': [10, 10, 10]}]"
Circuit - Total Body,"[{'exercise': 'Incline DB Bench Press', 'sets': 3, 'reps': [10, 10, 10]}]"
Superset A - Volume Accum.,"[{'exercise': 'Incline DB Bench Press', 'sets': 4, 'reps': [10, 10, 10, 10]}]"
Power - Hip Extension,"[{'exercise': 'KB Swing', 'sets': 4, 'reps': [5, 5, 5, 5]}]"
Accessory Circuit,"[{'exercise': 'Banded Clamshell', 'sets': 2, 'reps': [10, 10]}, {'exercise': 'Banded Bicycle', 'sets': 2, 'reps': [10, 10]}]"
ROPES - as time permits,"[{'exercise': 'Ropes - Alternating - Hammer-Grip', 'sets': 6, 'reps': [0, 0, 0, 0, 0, 0]}]"
Barbell Back Squat - Prep Sets Included,"[{'exercise': 'Barbell Back Squat', 'sets': 6, 'reps': [4, 4, 3, 3, 3, 3]}]"
Assistance - LB,"[{'exercise': '1-Leg SB Hamstring Curl', 'sets': 2, 'reps': [10, 10]}]"
Press/Pull,"[{'exercise': 'Alternating DB Bench Press', 'sets': 2, 'reps': [10, 10]}]"
ACCEL/DECEL w CONES,"[{'exercise': 'T-Drill - Right', 'sets': 1, 'reps': [3]}, {'exercise': 'T-Drill - Left', 'sets': 1, 'reps': [3]}]"
LEARN THE BENCH PRESS,"[{'exercise': 'Barbell Bench Press', 'sets': 5, 'reps': [4, 4, 4, 4, 0]}]"
GLUTES - QUADRUPED 1,"[{'exercise': 'Fire Hydrant', 'sets': 4, 'reps': [0, 0, 15, 15]}]"
GLUTES on TURF QUADRUPED 1,"[{'exercise': 'Fire Hydrant', 'sets': 4, 'reps': [0, 0, 15, 15]}]"
Prep Series - SC Lead,"[{'exercise': 'Inchworm', 'sets': 2, 'reps': [3, 3]}]"
PARTNER WORK 1 - ASSISTANCE,"[{'exercise': 'DB Split Squat', 'sets': 2, 'reps': [6, 6]}]"
PARTNER WORK A - ASSISTANCE,"[{'exercise': 'DB Split Squat', 'sets': 3, 'reps': [6, 6, 6]}]"
Groups of 3 - ASSISTANCE,"[{'exercise': 'DB Split Squat', 'sets': 3, 'reps': [5, 5, 5]}]"
#CORE,"[{'exercise': 'Reverse Hyper', 'sets': 2, 'reps': [20, 20]}]"
SPRINT MECHANICS,"[{'exercise': 'Running Drill - Marching', 'sets': 2, 'reps': [10, 10]}]"
Seated Series - On a Bench,"[{'exercise': 'Theraband Retraction', 'sets': 3, 'reps': [12, 12, 12]}, {'exercise': 'Seated Band Row', 'sets': 3, 'reps': [12, 12, 12]}]"
Lat Pull Down,"[{'exercise': 'MB Throwdown', 'sets': 3, 'reps': [5, 5, 5]}]"
Foundation - Bracing & Breathing,"[{'exercise': 'Bear Crawl - Lateral', 'sets': 2, 'reps': [5, 5]}, {'exercise': 'Bear Crawl - Forward', 'sets': 2, 'reps': [5, 5]}]"
Foundation - Application,"[{'exercise': 'Bear Crawl - Lateral', 'sets': 1, 'reps': [0]}, {'exercise': 'Bear Crawl - Forward', 'sets': 1, 'reps': [0]}]"
MARCHING MECHNAICS,"[{'exercise': 'Running Drill - Marching', 'sets': 1, 'reps': [0]}]"
MARCHING MECHANICS,"[{'exercise': 'Running Drill - Marching', 'sets': 1, 'reps': [0]}]"
Low Hurdles,"[{'exercise': '1-Leg Hurdle Hops - Stability', 'sets': 2, 'reps': [3, 3]}, {'exercise': '1-Leg Hurdle Hops - Continuous', 'sets': 2, 'reps': [3, 3]}]"
INCLINE DB PRESS,"[{'exercise': 'Incline Alternating DB Bench Press', 'sets': 3, 'reps': [6, 6, 6]}]"
Foundation - PROGRESSED,"[{'exercise': 'Bear Crawl - Forward', 'sets': 2, 'reps': [5, 5]}]"
METABOLIC CIRCUIT LINEAR,"[{'exercise': 'MB Throwdown', 'sets': 1, 'reps': [0]}]"
WALL DRILL,"[{'exercise': 'Running Drill - Static Hold', 'sets': 1, 'reps': [0]}, {'exercise': 'Running Drill - Single Leg Wall Drill', 'sets': 2, 'reps': [5, 5]}]"
BB BENCH PRESS - 6RM,"[{'exercise': 'Barbell Bench Press', 'sets': 4, 'reps': [6, 6, 6, 6]}]"
SUPERSET - POSTERIOR CHAIN,"[{'exercise': 'DB RDL', 'sets': 2, 'reps': [8, 8]}]"
LB SPEED AND POWER,"[{'exercise': 'DB Split Squat', 'sets': 3, 'reps': [6, 6, 6]}]"
METABILIC CIRCUIT - LINEAR,"[{'exercise': 'MB Throwdown', 'sets': 1, 'reps': [0]}]"
QUADRUPED - ISO/ACTIVE,"[{'exercise': 'Fire Hydrant', 'sets': 4, 'reps': [0, 0, 15, 15]}]"
ATTACKERS - ROTATION I,"[{'exercise': 'Band Half-Kneeling Chop', 'sets': 3, 'reps': [10, 10, 10]}]"
LUNGES,"[{'exercise': 'Walking Lunge', 'sets': 3, 'reps': [10, 10, 10]}]"
BB BENCH - SPEED EMPHASIS,"[{'exercise': 'Barbell Bench Press', 'sets': 4, 'reps': [6, 3, 0, 0]}]"
VOLUME ACCUM. CIRCUIT,"[{'exercise': 'Walking Lunge', 'sets': 3, 'reps': [10, 10, 10]}, {'exercise': 'Back Bridge - March', 'sets': 3, 'reps': [5, 5, 5]}]"
BB BENCH - SPEED-STRENGTH,"[{'exercise': 'Barbell Bench Press', 'sets': 6, 'reps': [5, 5, 3, 3, 3, 3]}]"
BREATHING & RESET,"[{'exercise': 'Spiderman Stretch', 'sets': 1, 'reps': [5]}]"
OPTIONAL EXTRA - BREATHING & RESET,"[{'exercise': 'Spiderman Stretch', 'sets': 1, 'reps': [5]}]"
Power/Oly,"[{'exercise': 'Box Jump', 'sets': 4, 'reps': [4, 4, 4, 4]}]"
Green Zone EMOM,"[{'exercise': 'KB Swing', 'sets': 1, 'reps': [5]}]"
Plyo/Power,"[{'exercise': 'Box Jump', 'sets': 2, 'reps': [3, 3]}]"
Full Body Strength,"[{'exercise': 'Incline DB Bench Press', 'sets': 3, 'reps': [6, 6, 6]}]"
Squat,"[{'exercise': 'Barbell Back Squat', 'sets': 3, 'reps': [0, 0, 0]}]"
Auxillary,"[{'exercise': 'Standing DB Military Press', 'sets': 3, 'reps': [8, 8, 8]}, {'exercise': 'SB Lying Leg Raise', 'sets': 3, 'reps': [10, 10, 10]}, {'exercise': 'SB Long-Lever Plate Rotation', 'sets': 3, 'reps': [8, 8, 8]}]"
Core,"[{'exercise': 'Front Bridge', 'sets': 2, 'reps': [0, 0]}, {'exercise': 'Side Bridge', 'sets': 2, 'reps': [0, 0]}, {'exercise': 'Front Bridge - Arm Raise', 'sets': 1, 'reps': [3]}, {'exercise': 'Front Bridge - Leg Raise', 'sets': 1, 'reps': [3]}, {'exercise': 'Front Bridge - Arm Raise', 'sets': 1, 'reps': [3]}, {'exercise': 'Front Bridge - Leg Raise', 'sets': 1, 'reps': [3]}]"
Plyo-Rocketman,"[{'exercise': 'Tuck Jump', 'sets': 3, 'reps': [5, 5, 5]}]"
Block 1,"[{'exercise': 'Barbell Front Squat', 'sets': 5, 'reps': [3, 3, 0, 3, 3]}, {'exercise': 'Lat Pulldown (front)', 'sets': 5, 'reps': [10, 10, 10, 10, 10]}, {'exercise': 'DB Bent-Over Shoulder Combo', 'sets': 4, 'reps': [6, 6, 6, 6]}]"
Block 2,"[{'exercise': 'DB Walking Lunge', 'sets': 3, 'reps': [8, 8, 8]}, {'exercise': 'SB Kneeling Bridge Rollout', 'sets': 3, 'reps': [10, 10, 10]}, {'exercise': 'DB Walking Lunge', 'sets': 1, 'reps': [8]}, {'exercise': 'Barbell Bent-Over Row', 'sets': 4, 'reps': [10, 10, 10, 10]}, {'exercise': 'SB Kneeling Bridge Rollout', 'sets': 1, 'reps': [10]}]"
Max Effort: Upper Body,"[{'exercise': 'Barbell Bench Press', 'sets': 2, 'reps': [8, 0]}, {'exercise': '1-Arm Standing Cable Row -Lunge', 'sets': 2, 'reps': [16, 16]}, {'exercise': '1-Leg SLDL', 'sets': 1, 'reps': [5]}, {'exercise': 'Back Bridge - March', 'sets': 1, 'reps': [10]}, {'exercise': '1-Leg SLDL', 'sets': 1, 'reps': [5]}, {'exercise': 'Back Bridge - March', 'sets': 1, 'reps': [10]}]"
Block 1-Upper Body Priority,"[{'exercise': 'Barbell Bench Press', 'sets': 3, 'reps': [10, 10, 10]}, {'exercise': 'Wall Angel', 'sets': 2, 'reps': [10, 10]}, {'exercise': '1-Arm DB Row', 'sets': 4, 'reps': [15, 15, 15, 15]}, {'exercise': 'Wall Angel', 'sets': 1, 'reps': [10]}, {'exercise': 'Kneeling Thoracic Mobility', 'sets': 3, 'reps': [8, 8, 8]}]"
Block 3- Upper Body Auxillary 2,"[{'exercise': 'DB Skullcrusher', 'sets': 2, 'reps': [10, 10]}, {'exercise': 'DB Bicep Curl', 'sets': 1, 'reps': [10]}, {'exercise': 'DB 3-Way Shoulder Raise', 'sets': 2, 'reps': [10, 10]}, {'exercise': 'DB Bicep Curl', 'sets': 1, 'reps': [10]}, {'exercise': 'DB Skullcrusher', 'sets': 1, 'reps': [10]}, {'exercise': 'DB 3-Way Shoulder Raise', 'sets': 1, 'reps': [10]}]"
Block 4 - Shoulder Health,"[{'exercise': 'SB Lying Posterior Raises', 'sets': 2, 'reps': [12, 12]}, {'exercise': 'DB Bent-Over Shoulder Combo', 'sets': 1, 'reps': [10]}, {'exercise': 'DB Bent-Over 90/90-Press', 'sets': 1, 'reps': [12]}, {'exercise': 'DB Bent-Over Shoulder Combo', 'sets': 1, 'reps': [10]}, {'exercise': 'DB Bent-Over 90/90-Press', 'sets': 1, 'reps': [12]}]"
Vertical Push,"[{'exercise': 'Isometric Chinup - Full', 'sets': 3, 'reps': [8, 8, 8]}]"
Rep Effort Total Body- Hip Dominant,"[{'exercise': 'KB Swing', 'sets': 3, 'reps': [10, 10, 10]}]"
Max Effort: Lower Body-Deadlift,"[{'exercise': 'Half-Kneeling Lift', 'sets': 3, 'reps': [10, 10, 10]}]"
Ancillary - Lower Body,"[{'exercise': 'Barbell RDL', 'sets': 2, 'reps': [5, 5]}]"
Total Body- Explosive,"[{'exercise': 'Barbell Hang Clean', 'sets': 2, 'reps': [5, 5]}]"
Lower Body - Push,"[{'exercise': 'Barbell Back Squat', 'sets': 2, 'reps': [5, 5]}]"
Shoulder Care,"[{'exercise': 'Side Lying DB External Rotation', 'sets': 2, 'reps': [15, 15]}, {'exercise': 'DB Bent-Over 90/90-Press', 'sets': 1, 'reps': [10]}, {'exercise': 'SB Lying Posterior Raises', 'sets': 1, 'reps': [10]}, {'exercise': 'DB Bent-Over 90/90-Press', 'sets': 1, 'reps': [10]}, {'exercise': 'SB Lying Posterior Raises', 'sets': 1, 'reps': [10]}]"
Upper Body - Press,"[{'exercise': 'DB Bench Press', 'sets': 2, 'reps': [5, 5]}, {'exercise': 'Isometric Chinup - 60 degree', 'sets': 2, 'reps': [5, 5]}]"
A-series,"[{'exercise': 'Barbell Front Squat', 'sets': 1, 'reps': [5]}, {'exercise': 'Tuck Jump', 'sets': 3, 'reps': [5, 5, 5]}, {'exercise': 'Barbell Front Squat', 'sets': 2, 'reps': [5, 0]}]"
B-Series,"[{'exercise': 'Barbell RDL', 'sets': 3, 'reps': [8, 8, 8]}]"
D-Series,"[{'exercise': 'Chinup', 'sets': 1, 'reps': [30]}, {'exercise': 'Barbell Rollout', 'sets': 1, 'reps': [30]}]"
Bench,"[{'exercise': 'Barbell Bench Press', 'sets': 5, 'reps': [10, 5, 10, 10, 10]}]"
Secondary Press,"[{'exercise': 'Incline DB Bench Press', 'sets': 3, 'reps': [10, 10, 10]}]"
Contrast LB,"[{'exercise': 'Barbell Back Squat', 'sets': 5, 'reps': [5, 3, 3, 3, 3]}, {'exercise': 'Tuck Jump', 'sets': 4, 'reps': [5, 5, 5, 5]}, {'exercise': 'DB Jump Shrug', 'sets': 4, 'reps': [4, 4, 4, 4]}, {'exercise': 'Band Jumps', 'sets': 4, 'reps': [5, 5, 5, 5]}]"
Contrast UB,"[{'exercise': 'Barbell Bench Press', 'sets': 5, 'reps': [5, 3, 4, 4, 4]}, {'exercise': 'MB Chest Pass', 'sets': 3, 'reps': [5, 5, 5]}, {'exercise': 'Hammer-Grip Pullup', 'sets': 3, 'reps': [8, 8, 8]}, {'exercise': 'Monster Walks - Level 1', 'sets': 3, 'reps': [10, 10, 10]}]"
Block 3,"[{'exercise': 'Barbell RDL', 'sets': 3, 'reps': [8, 8, 8]}, {'exercise': 'Band Lateral Raise', 'sets': 3, 'reps': [8, 8, 8]}, {'exercise': 'Supine Row', 'sets': 3, 'reps': [10, 10, 10]}]"
Block 4,"[{'exercise': 'Reverse Hyper', 'sets': 3, 'reps': [8, 8, 8]}, {'exercise': 'Lat Pulldown (front)', 'sets': 3, 'reps': [8, 8, 8]}, {'exercise': 'SB Banded Wall Squat', 'sets': 3, 'reps': [10, 10, 10]}]"
Lower Body,"[{'exercise': 'DB Stepup', 'sets': 2, 'reps': [8, 8]}, {'exercise': 'Side Bridge Opposite Crunch', 'sets': 1, 'reps': [8]}, {'exercise': 'SB Hamstring Curl', 'sets': 2, 'reps': [10, 10]}, {'exercise': 'Side Bridge Opposite Crunch', 'sets': 1, 'reps': [8]}, {'exercise': 'DB Stepup', 'sets': 1, 'reps': [8]}, {'exercise': 'Side Bridge Opposite Crunch', 'sets': 1, 'reps': [8]}, {'exercise': 'SB Hamstring Curl', 'sets': 1, 'reps': [10]}]"
Upper Body,"[{'exercise': 'Incline DB Bench Press', 'sets': 2, 'reps': [15, 15]}, {'exercise': 'TRX Inverted Row', 'sets': 1, 'reps': [8]}, {'exercise': 'Plate 3-Way Shoulder Raises', 'sets': 2, 'reps': [5, 5]}, {'exercise': 'TRX Inverted Row', 'sets': 1, 'reps': [8]}, {'exercise': 'Incline DB Bench Press', 'sets': 1, 'reps': [15]}, {'exercise': 'TRX Inverted Row', 'sets': 1, 'reps': [8]}, {'exercise': 'Plate 3-Way Shoulder Raises', 'sets': 1, 'reps': [5]}]"
Velocity,"[{'exercise': 'Barbell Hang Clean', 'sets': 3, 'reps': [4, 4, 4]}, {'exercise': 'Front Bridge', 'sets': 3, 'reps': [0, 0, 0]}]"
Max Effort: Total Body 1,"[{'exercise': 'Hex Bar Deadlift', 'sets': 2, 'reps': [8, 8]}, {'exercise': 'Spiderman Stretch', 'sets': 2, 'reps': [3, 3]}, {'exercise': 'Active Single-Leg Lowering', 'sets': 2, 'reps': [5, 5]}]"
Rep Effort: Upper Body 1,"[{'exercise': 'Barbell Bench Press', 'sets': 3, 'reps': [8, 8, 0]}, {'exercise': 'Chinup', 'sets': 3, 'reps': [5, 5, 5]}, {'exercise': 'Wide-Stance 1-Arm DB Row', 'sets': 3, 'reps': [10, 10, 10]}, {'exercise': 'Partner Chest Stretch', 'sets': 3, 'reps': [10, 10, 10]}]"
Rep Effort: Upper Body 2,"[{'exercise': 'Barbell Bench Press', 'sets': 3, 'reps': [8, 8, 0]}, {'exercise': 'Partner Chest Stretch', 'sets': 3, 'reps': [0, 10, 10]}]"
Max Effort: Lower Body,"[{'exercise': 'DB Bulgarian Split Squat', 'sets': 4, 'reps': [8, 8, 8, 8]}, {'exercise': 'Pigeon stretch (chest down)', 'sets': 3, 'reps': [5, 5, 5]}, {'exercise': 'Banded Back Bridge - Hip Raise', 'sets': 3, 'reps': [10, 10, 10]}, {'exercise': 'Half-Kneeling Lift', 'sets': 3, 'reps': [8, 8, 8]}, {'exercise': 'Hipflexors', 'sets': 3, 'reps': [8, 8, 8]}]"
Max Effort: Total Body,"[{'exercise': 'Hex Bar Deadlift', 'sets': 3, 'reps': [8, 8, 8]}, {'exercise': 'Spiderman Stretch', 'sets': 3, 'reps': [3, 3, 3]}, {'exercise': 'Half-Kneeling Chop', 'sets': 3, 'reps': [8, 8, 8]}]"
Max Effort: Total Body 2,"[{'exercise': 'Hex Bar Deadlift', 'sets': 2, 'reps': [8, 8]}, {'exercise': 'Half-Kneeling Chop', 'sets': 2, 'reps': [8, 8]}, {'exercise': 'Back Bridge - Full Leg Raise', 'sets': 2, 'reps': [10, 10]}]"
Rep Effort: Lower Body,"[{'exercise': '1-Leg Box Squat', 'sets': 3, 'reps': [5, 5, 5]}, {'exercise': 'SB Hamstring Curl', 'sets': 3, 'reps': [10, 10, 10]}, {'exercise': 'Back Bridge', 'sets': 3, 'reps': [10, 10, 10]}, {'exercise': 'Kneeling Thoracic Mobility', 'sets': 3, 'reps': [8, 8, 8]}]"
Rep Effort: Total Body,"[{'exercise': '1-Leg SLDL', 'sets': 3, 'reps': [8, 8, 8]}, {'exercise': 'TRX Inverted Row', 'sets': 3, 'reps': [10, 10, 10]}, {'exercise': 'Wall Angel', 'sets': 3, 'reps': [10, 10, 10]}]"
Rep Effort: Upper Body,"[{'exercise': 'Barbell Bench Press', 'sets': 4, 'reps': [5, 5, 5, 0]}, {'exercise': 'Chinup', 'sets': 3, 'reps': [5, 5, 5]}, {'exercise': 'Wide-Stance 1-Arm DB Row', 'sets': 3, 'reps': [10, 10, 10]}, {'exercise': 'Wall Angel', 'sets': 3, 'reps': [10, 10, 10]}]"
Dynamic Effort: Lower Body,"[{'exercise': 'Kneeling Thoracic Mobility', 'sets': 3, 'reps': [8, 8, 8]}, {'exercise': 'Vertical Jump', 'sets': 3, 'reps': [5, 5, 5]}, {'exercise': 'Lateral Jump', 'sets': 3, 'reps': [3, 3, 3]}, {'exercise': 'Jumping Lunge', 'sets': 3, 'reps': [3, 3, 3]}, {'exercise': 'Tuck Jump', 'sets': 3, 'reps': [5, 5, 5]}]"
Max Effort: Lower Body 1,"[{'exercise': 'DB Bulgarian Split Squat', 'sets': 2, 'reps': [5, 5]}, {'exercise': 'Pigeon stretch (chest down)', 'sets': 2, 'reps': [5, 5]}, {'exercise': 'Banded Back Bridge - Hip Raise', 'sets': 2, 'reps': [10, 10]}]"
Movement Prep,"[{'exercise': '1-Leg Achilles Stretch', 'sets': 1, 'reps': [0]}, {'exercise': '3-Point Lunge Series', 'sets': 1, 'reps': [0]}, {'exercise': 'Monster Walks - continuous', 'sets': 1, 'reps': [15]}, {'exercise': 'Back Bridge - Full Leg Raise', 'sets': 1, 'reps': [0]}, {'exercise': 'Bridge Series', 'sets': 1, 'reps': [0]}]"
Aerobic Warm Up,"[{'exercise': 'Jump Rope', 'sets': 1, 'reps': [0]}, {'exercise': 'Burpee', 'sets': 1, 'reps': [0]}]"
Tier 1-Total Body,"[{'exercise': 'Hex Bar Deadlift', 'sets': 3, 'reps': [8, 8, 8]}, {'exercise': 'Half-Kneeling Lift', 'sets': 3, 'reps': [10, 10, 10]}, {'exercise': 'Side Lying DB External Rotations', 'sets': 3, 'reps': [10, 10, 10]}]"
Tier 2- Lower Body,"[{'exercise': 'Barbell Front Squat', 'sets': 3, 'reps': [8, 8, 8]}, {'exercise': 'Front Bridge', 'sets': 3, 'reps': [8, 8, 8]}, {'exercise': '1-Leg Plate SLDL', 'sets': 3, 'reps': [8, 8, 8]}, {'exercise': 'Partner Glute-Ham Raise', 'sets': 3, 'reps': [10, 10, 10]}]"
Tier 3- Upper Body,"[{'exercise': 'Pushup', 'sets': 3, 'reps': [10, 10, 10]}, {'exercise': 'TRX Inverted Row', 'sets': 3, 'reps': [15, 15, 15]}, {'exercise': 'Chinup', 'sets': 3, 'reps': [0, 0, 0]}]"
Tier 1: Lower Body,"[{'exercise': 'Barbell Back Squat', 'sets': 4, 'reps': [8, 8, 8, 0]}, {'exercise': 'Half-Kneeling Chop', 'sets': 1, 'reps': [0]}, {'exercise': 'SB W, Y, T', 'sets': 1, 'reps': [0]}]"
Tier 2: Upper Body,"[{'exercise': 'Standing Barbell Military Press (Front)', 'sets': 3, 'reps': [8, 8, 8]}, {'exercise': 'Pullup', 'sets': 3, 'reps': [0, 0, 0]}, {'exercise': '1-Arm Standing Cable Row -Lunge', 'sets': 3, 'reps': [10, 10, 10]}, {'exercise': 'Side Bridge - Leg Raise', 'sets': 3, 'reps': [3, 3, 3]}]"
Tier 3: Total Body,"[{'exercise': '1-Leg DB/KB SLDL -2- Press', 'sets': 3, 'reps': [8, 8, 8]}, {'exercise': '5-point Lunge Series', 'sets': 3, 'reps': [3, 3, 3]}, {'exercise': '3-Way Calf Raises', 'sets': 3, 'reps': [10, 10, 10]}, {'exercise': 'Back Extension - Flexion/Extension', 'sets': 3, 'reps': [10, 10, 10]}]"
Tier 3 Lower Body,"[{'exercise': 'Barbell Split Squat', 'sets': 4, 'reps': [8, 8, 8, 0]}, {'exercise': 'MB Standing Rotation', 'sets': 1, 'reps': [0]}, {'exercise': 'SB W, Y, T', 'sets': 1, 'reps': [0]}]"
Tier 1: Upper Body,"[{'exercise': 'Barbell Bench Press', 'sets': 3, 'reps': [8, 8, 8]}, {'exercise': 'Band Anti-Rotation', 'sets': 3, 'reps': [0, 0, 0]}, {'exercise': 'TRX Inverted Row', 'sets': 3, 'reps': [10, 10, 10]}, {'exercise': 'Two Point Bridge', 'sets': 3, 'reps': [2, 2, 2]}]"
Tier 2: Total Body,"[{'exercise': 'Barbell Deadlift', 'sets': 3, 'reps': [8, 8, 8]}, {'exercise': 'SB Pot Stirrer', 'sets': 3, 'reps': [10, 10, 10]}, {'exercise': 'Side Lying DB External Rotations', 'sets': 3, 'reps': [10, 10, 10]}, {'exercise': '3-Way Calf Raises', 'sets': 3, 'reps': [10, 10, 10]}]"
Tier 1 - Total Body,"[{'exercise': 'Hex Bar Deadlift', 'sets': 3, 'reps': [8, 8, 8]}, {'exercise': 'Half-Kneeling Lift', 'sets': 3, 'reps': [10, 10, 10]}, {'exercise': 'Side Lying DB External Rotation', 'sets': 3, 'reps': [10, 10, 10]}]"
Tier 3 - Total Body,"[{'exercise': 'Barbell Deadlift', 'sets': 3, 'reps': [8, 8, 8]}, {'exercise': '1-Leg DB SLDL', 'sets': 3, 'reps': [8, 8, 8]}, {'exercise': 'SB Pot Stirrer', 'sets': 3, 'reps': [10, 10, 10]}]"
Tier 1- Lower Body,"[{'exercise': 'Barbell Back Squat', 'sets': 3, 'reps': [8, 8, 8]}, {'exercise': 'Half-Kneeling Chop', 'sets': 3, 'reps': [10, 10, 10]}, {'exercise': 'Wall Angel', 'sets': 3, 'reps': [10, 10, 10]}]"
Tier 2- Upper Body,"[{'exercise': 'Standing Barbell Military Press (Front)', 'sets': 3, 'reps': [10, 10, 10]}, {'exercise': 'DB Upright Row', 'sets': 3, 'reps': [10, 10, 10]}, {'exercise': '1-Arm Standing Cable Row -Lunge', 'sets': 3, 'reps': [15, 15, 15]}]"
Tier 2- Total Body,"[{'exercise': 'Barbell Deadlift', 'sets': 3, 'reps': [8, 8, 8]}, {'exercise': '1-Leg DB SLDL', 'sets': 3, 'reps': [8, 8, 8]}, {'exercise': 'SB Pot Stirrer', 'sets': 3, 'reps': [10, 10, 10]}]"
Tier 3- Lower Body,"[{'exercise': 'Barbell Back Squat', 'sets': 3, 'reps': [8, 8, 8]}, {'exercise': 'Half-Kneeling Chop', 'sets': 3, 'reps': [10, 10, 10]}, {'exercise': 'Wall Angel', 'sets': 3, 'reps': [10, 10, 10]}]"
Tier 1- Upper Body,"[{'exercise': 'Barbell Bench Press', 'sets': 3, 'reps': [10, 10, 10]}, {'exercise': '1-Arm DB Row', 'sets': 3, 'reps': [10, 10, 10]}, {'exercise': 'Two Point Bridge Hold', 'sets': 3, 'reps': [3, 3, 3]}]"
Dynamic Effort: Total Body,"[{'exercise': 'Barbell Power Clean', 'sets': 4, 'reps': [4, 4, 4, 4]}, {'exercise': 'Tuck Jump', 'sets': 1, 'reps': [5]}, {'exercise': 'Wall Angel', 'sets': 3, 'reps': [10, 10, 10]}, {'exercise': 'Band Anti-Rotation', 'sets': 3, 'reps': [3, 3, 3]}, {'exercise': 'Tuck Jump', 'sets': 3, 'reps': [5, 5, 5]}]"
Max: Effort Lower Body 2,"[{'exercise': 'Barbell Front Squat', 'sets': 2, 'reps': [8, 0]}, {'exercise': 'Banded Back Bridge - Hip Raise', 'sets': 2, 'reps': [10, 10]}, {'exercise': 'Lateral Lunge', 'sets': 2, 'reps': [5, 5]}]"
